Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-01-04,CGEN,Car and General (K) Ltd,17.95,31.8,25.0,25.1,25.05,25.1,-0.05,0.2,2900.0,
2024-01-04,ABSA,ABSA Bank Kenya Plc,10.55,16.7,11.4,11.65,11.55,11.45,0.1,0.87,20000.0,
2024-01-04,BKG,BK Group Plc,30.0,37.0,35.8,35.8,35.8,33.5,2.3,6.87,300.0,
2024-01-04,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,11.15,11.4,11.25,11.2,0.05,0.45,268100.0,
2024-01-04,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,45.0,46.5,46.25,45.75,0.5,1.09,3900.0,
2024-01-04,EQTY,Equity Group Holdings Plc,33.6,51.0,35.5,37.0,35.65,35.6,0.05,0.14,408000.0,
2024-01-04,HFCK,HF Group Ltd,3.02,4.9,3.25,3.45,3.37,3.56,-0.19,5.34,14100.0,
2024-01-04,IMH,I & M Holdings Plc,17.0,35.0,17.5,17.5,17.5,17.5,,,189800.0,
2024-01-04,KCB,KCB Group Plc,15.75,40.0,22.3,23.1,22.7,22.8,-0.1,0.44,275400.0,
2024-01-04,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-01-04,NCBA,NCBA Group Plc,34.05,47.0,38.1,38.5,38.45,38.05,0.4,1.05,1200.0,
2024-01-04,SBIC,Stanbic Holdings Plc,100.0,134.0,109.0,112.0,110.0,106.5,3.5,3.29,4200.0,
2024-01-04,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,160.0,164.5,161.25,164.5,-3.25,1.98,5800.0,
2024-01-04,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-01-04,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.24,1.22,1.24,-0.02,1.61,300.0,
2024-01-04,XPRS,Express Kenya Plc,2.74,3.99,3.7,3.7,3.7,3.7,,,,
2024-01-04,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-01-04,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-01-04,LKL,Longhorn Publishers Plc,2.02,2.65,2.17,2.17,2.17,2.41,-0.24,9.96,100.0,
2024-01-04,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.46,2.46,2.46,2.46,,,,
2024-01-04,NMG,Nation Media Group Plc,14.0,22.4,20.0,21.5,20.45,20.55,-0.1,0.49,7400.0,
2024-01-04,SMER,Sameer Africa Plc,1.87,2.75,2.07,2.27,2.09,2.27,-0.18,7.93,1100.0,
2024-01-04,SGL,Standard Group Plc,4.86,9.0,7.74,7.74,7.74,7.74,,,,
2024-01-04,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,16.45,16.45,16.45,16.45,,,,
2024-01-04,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.18,0.19,0.18,0.19,-0.01,5.26,16900.0,
2024-01-04,SCAN,WPP ScanGroup Plc,1.86,2.94,1.98,2.09,2.06,2.09,-0.03,1.44,5000.0,
2024-01-04,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-01-04,BAMB,Bamburi Cement Ltd,22.5,84.0,35.9,37.0,36.4,36.0,0.4,1.11,1300.0,
2024-01-04,CRWN,Crown Paints Kenya Plc,29.0,40.05,35.0,35.0,35.0,35.0,,,300.0,
2024-01-04,CABL,East African Cables Plc,0.79,1.11,0.97,0.98,0.98,1.0,-0.02,2.0,1500.0,
2024-01-04,PORT,East African Portland Cement Ltd,4.38,55.75,8.0,8.0,8.0,8.0,,,,
2024-01-04,KEGN,Kenya Electricity Generating Company Plc,1.94,4.6,1.99,2.0,2.0,2.0,,,373400.0,
2024-01-04,KPLC-P4,KPLC-P4,4.0,4.11,4.11,4.11,4.11,4.11,,,,
2024-01-04,KPLC-P7,KPLC-P7,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-01-04,KPLC,Kenya Power and Lighting Company Plc,1.3,6.0,1.4,1.45,1.41,1.45,-0.04,2.76,45500.0,
2024-01-04,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.0,17.0,18.0,17.35,18.0,-0.65,3.61,2100.0,
2024-01-04,UMME,Umeme Ltd,13.0,17.9,15.3,15.8,15.55,14.4,1.15,7.99,3800.0,
2024-01-04,BRIT,Britam Holdings Plc,4.25,6.5,4.71,4.9,4.75,4.71,0.04,0.85,3000.0,
2024-01-04,CIC,CIC Insurance Group Ltd,1.93,2.5,2.15,2.29,2.19,2.28,-0.09,3.95,8900.0,
2024-01-04,JUB,Jubilee Holdings Ltd,150.0,202.0,185.0,185.0,185.0,185.0,,,,
2024-01-04,KNRE,Kenya Re-Insurance Corporation Ltd,1.0,3.0,1.78,1.94,1.82,1.89,-0.07,3.7,388500.0,
2024-01-04,LBTY,Liberty Kenya Holdings Ltd,3.5,8.24,4.22,4.22,4.22,3.86,0.36,9.33,200.0,
2024-01-04,SLAM,Sanlam Kenya Plc,5.5,7.7,5.6,5.6,5.6,6.0,-0.4,6.67,9700.0,
2024-01-04,CTUM,Centum Investment Company Plc,7.62,10.4,8.26,8.48,8.4,8.36,0.04,0.48,40800.0,
2024-01-04,HAFR,Home Afrika Ltd,0.27,0.42,0.39,0.4,0.4,0.4,,,3300.0,
2024-01-04,KURV,Kurwitu Ventures Ltd,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
2024-01-04,OCH,Olympia Capital Holdings Ltd,2.58,4.0,3.27,3.27,3.27,3.5,-0.23,6.57,800.0,
2024-01-04,TCL,Trans-Century Plc,0.29,0.72,0.5,0.51,0.51,0.47,0.04,8.51,1900.0,
2024-01-04,NSE,Nairobi Securities Exchange Plc,5.22,6.8,6.06,6.1,6.08,6.08,,,5500.0,
2024-01-04,BOC,BOC Kenya Plc,67.0,96.0,82.0,82.0,82.0,82.0,,,,
2024-01-04,BAT,British American Tobacco Kenya Plc,325.0,455.0,410.0,455.0,428.5,425.0,3.5,0.82,1700.0,
2024-01-04,CARB,Carbacid Investments Plc,14.05,24.5,14.8,15.1,15.0,15.0,,,21100.0,
2024-01-04,EABL,East African Breweries Ltd,99.0,204.0,123.0,123.0,123.0,120.5,2.5,2.07,1300.0,
2024-01-04,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.13,1.13,1.13,1.13,,,400.0,
2024-01-04,ORCH,Kenya Orchards Ltd,19.0,77.0,19.5,19.5,19.5,19.5,,,,
2024-01-04,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-01-04,UNGA,Unga Group Ltd,11.05,18.45,16.85,16.85,16.85,16.85,,,,
2024-01-04,SCOM,Safaricom Plc,12.15,21.15,13.55,13.8,13.6,13.65,-0.05,0.37,1000500.0,
2024-01-04,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-01-04,GLD,ABSA NewGold ETF,2625.0,3330.0,2915.0,2915.0,2915.0,2915.0,,,,
2024-01-04,^N10I,NSE 10-Share Index,874.34,1243.88,926.05,926.05,926.05,922.0,4.05,0.44,,
2024-01-04,^N20I,NSE 20-Share Index,1416.32,1942.74,1512.22,1512.22,1512.22,1509.36,2.86,0.19,,
2024-01-04,^N25I,NSE 25-Share Index,2281.58,3205.82,2422.91,2422.91,2422.91,2410.69,12.22,0.51,,
2024-01-04,^NASI,NSE All-Share Index,86.41,119.33,92.48,92.48,92.48,92.11,0.37,0.4,,
2024-01-04,^ZKEQTK,Zamara Kenya Equity Index (KES),1497.8,2397.65,1613.84,1613.84,1613.84,1610.32,3.52,0.22,,
2024-01-04,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,882.23,882.23,882.23,880.31,1.92,0.22,,
2024-01-05,EGAD,Eaagads Ltd,10.35,14.5,13.95,13.95,13.95,13.95,,,,
2024-01-05,KUKZ,Kakuzi Plc,342.0,440.0,385.0,385.0,385.0,385.0,,,,
2024-01-05,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,225.0,225.0,225.0,225.0,,,200.0,
2024-01-05,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-01-05,SASN,Sasini Plc,15.1,22.0,20.0,20.0,20.0,19.75,0.25,1.27,200.0,
2024-01-05,WTK,Williamson Tea Kenya Plc,193.5,290.0,237.0,237.0,237.0,237.0,,,600.0,
2024-01-05,CGEN,Car and General (K) Ltd,17.95,31.8,25.05,25.05,25.05,25.05,,,,
2024-01-05,ABSA,ABSA Bank Kenya Plc,10.55,16.7,11.55,11.75,11.65,11.55,0.1,0.87,106200.0,
2024-01-05,BKG,BK Group Plc,30.0,37.0,35.8,35.8,35.8,35.8,,,,
2024-01-05,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,11.2,12.0,11.25,11.25,,,314900.0,
2024-01-05,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,46.5,46.5,46.5,46.25,0.25,0.54,1000.0,
2024-01-05,EQTY,Equity Group Holdings Plc,33.6,51.0,35.5,37.0,35.65,35.65,,,1387600.0,
2024-01-05,HFCK,HF Group Ltd,3.02,4.9,3.3,3.45,3.35,3.37,-0.02,0.59,9600.0,
2024-01-05,IMH,I & M Holdings Plc,17.0,35.0,17.45,17.5,17.5,17.5,,,4800.0,
2024-01-05,KCB,KCB Group Plc,15.75,40.0,22.45,22.8,22.55,22.7,-0.15,0.66,197200.0,
2024-01-05,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
