Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-02-09,ABSA,ABSA Bank Kenya Plc,10.55,16.70,12.00,12.20,12.05,12.15,-0.1,0.82%,"872,700.00",-,10.55,16.7,12.0,12.2,12.05,12.15,-0.1,0.82,872700.0,
2024-02-09,BKG,BK Group Plc,30.00,37.00,35.50,35.50,35.50,35.50,-,-,-,-,30.0,37.0,35.5,35.5,35.5,35.5,,,,
2024-02-09,COOP,Co-operative Bank of Kenya Ltd,10.10,15.20,12.10,13.00,12.20,12.10,0.1,0.83%,"187,900.00",-,10.1,15.2,12.1,13.0,12.2,12.1,0.1,0.83,187900.0,
2024-02-09,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.00,47.00,48.80,48.80,48.80,-,-,"138,800.00",-,43.05,56.0,47.0,48.8,48.8,48.8,,,138800.0,
2024-02-09,EQTY,Equity Group Holdings Plc,33.60,51.00,37.10,37.50,37.45,37.20,0.25,0.67%,"25,200.00",-,33.6,51.0,37.1,37.5,37.45,37.2,0.25,0.67,25200.0,
2024-02-09,HFCK,HF Group Ltd,3.02,4.90,3.75,3.80,3.79,3.61,0.18,4.99%,600.00,-,3.02,4.9,3.75,3.8,3.79,3.61,0.18,4.99,600.0,
2024-02-09,IMH,I & M Holdings Plc,17.00,35.00,17.40,17.45,17.40,17.45,-0.05,0.29%,"216,000.00",-,17.0,35.0,17.4,17.45,17.4,17.45,-0.05,0.29,216000.0,
2024-02-09,KCB,KCB Group Plc,15.75,40.00,19.80,20.00,19.95,20.15,-0.2,0.99%,"70,000.00",-,15.75,40.0,19.8,20.0,19.95,20.15,-0.2,0.99,70000.0,
2024-02-09,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-02-09,NCBA,NCBA Group Plc,34.05,47.00,37.00,39.00,37.60,38.50,-0.9,2.34%,"2,800.00",-,34.05,47.0,37.0,39.0,37.6,38.5,-0.9,2.34,2800.0,
2024-02-09,SBIC,Stanbic Holdings Plc,100.00,134.00,114.75,115.00,115.00,114.75,0.25,0.22%,200.00,-,100.0,134.0,114.75,115.0,115.0,114.75,0.25,0.22,200.0,
2024-02-09,SCBK,Standard Chartered Bank Kenya Ltd,148.00,236.00,162.25,169.00,165.00,165.75,-0.75,0.45%,"32,600.00",-,148.0,236.0,162.25,169.0,165.0,165.75,-0.75,0.45,32600.0,
2024-02-09,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-02-09,EVRD,Eveready East Africa Ltd,0.97,1.65,1.17,1.20,1.18,1.23,-0.05,4.07%,800.00,-,0.97,1.65,1.17,1.2,1.18,1.23,-0.05,4.07,800.0,
2024-02-09,XPRS,Express Kenya Plc,2.74,3.99,3.50,3.55,3.55,3.24,0.31,9.57%,"1,500.00",-,2.74,3.99,3.5,3.55,3.55,3.24,0.31,9.57,1500.0,
2024-02-09,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-02-09,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,-,-,-,-,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-02-09,LKL,Longhorn Publishers Plc,2.02,2.65,2.30,2.30,2.30,2.30,-,-,-,-,2.02,2.65,2.3,2.3,2.3,2.3,,,,
2024-02-09,NBV,Nairobi Business Ventures Ltd,1.85,2.90,2.40,2.40,2.40,2.40,-,-,-,-,1.85,2.9,2.4,2.4,2.4,2.4,,,,
2024-02-09,NMG,Nation Media Group Plc,14.00,22.40,20.05,20.05,20.05,20.00,0.05,0.25%,400.00,-,14.0,22.4,20.05,20.05,20.05,20.0,0.05,0.25,400.0,
2024-02-09,SMER,Sameer Africa Plc,1.87,2.75,1.91,2.12,2.02,2.12,-0.1,4.72%,"2,300.00",-,1.87,2.75,1.91,2.12,2.02,2.12,-0.1,4.72,2300.0,
2024-02-09,SGL,Standard Group Plc,4.86,9.00,7.76,7.76,7.76,7.76,-,-,-,-,4.86,9.0,7.76,7.76,7.76,7.76,,,,
2024-02-09,TPSE,TPS Eastern Africa (Serena) Ltd,11.00,20.15,15.00,15.00,15.00,15.00,-,-,100.00,-,11.0,20.15,15.0,15.0,15.0,15.0,,,100.0,
2024-02-09,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.19,0.21,0.21,0.20,0.01,5.00%,"31,200.00",-,0.16,0.23,0.19,0.21,0.21,0.2,0.01,5.0,31200.0,
2024-02-09,SCAN,WPP ScanGroup Plc,1.86,2.94,2.52,2.52,2.52,2.51,0.01,0.40%,"9,000.00",-,1.86,2.94,2.52,2.52,2.52,2.51,0.01,0.4,9000.0,
2024-02-09,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-02-09,BAMB,Bamburi Cement Ltd,22.50,84.00,39.00,39.00,39.00,39.05,-0.05,0.13%,"8,700.00",-,22.5,84.0,39.0,39.0,39.0,39.05,-0.05,0.13,8700.0,
2024-02-09,CRWN,Crown Paints Kenya Plc,29.00,40.05,36.00,36.00,36.00,36.05,-0.05,0.14%,200.00,-,29.0,40.05,36.0,36.0,36.0,36.05,-0.05,0.14,200.0,
2024-02-09,CABL,East African Cables Plc,0.79,1.11,0.90,0.99,0.91,0.93,-0.02,2.15%,"1,500.00",-,0.79,1.11,0.9,0.99,0.91,0.93,-0.02,2.15,1500.0,
2024-02-09,PORT,East African Portland Cement Ltd,4.38,55.75,8.00,8.00,8.00,8.00,-,-,-,-,4.38,55.75,8.0,8.0,8.0,8.0,,,,
2024-02-09,KEGN,Kenya Electricity Generating Company Plc,1.94,4.60,1.98,1.99,1.99,1.99,-,-,"534,400.00",-,1.94,4.6,1.98,1.99,1.99,1.99,,,534400.0,
2024-02-09,KPLC-P4,KPLC-P4,4.00,4.11,4.00,4.00,4.00,4.00,-,-,-,-,4.0,4.11,4.0,4.0,4.0,4.0,,,,
2024-02-09,KPLC-P7,KPLC-P7,6.00,6.00,6.00,6.00,6.00,6.00,-,-,-,-,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-02-09,KPLC,Kenya Power and Lighting Company Plc,1.30,6.00,1.45,1.53,1.49,1.44,0.05,3.47%,"2,370,300.00",-,1.3,6.0,1.45,1.53,1.49,1.44,0.05,3.47,2370300.0,
2024-02-09,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.00,17.00,18.00,17.75,17.05,0.7,4.11%,700.00,-,14.55,25.0,17.0,18.0,17.75,17.05,0.7,4.11,700.0,
2024-02-09,UMME,Umeme Ltd,13.00,17.90,14.40,15.45,14.50,15.20,-0.7,4.61%,"869,400.00",-,13.0,17.9,14.4,15.45,14.5,15.2,-0.7,4.61,869400.0,
2024-02-09,BRIT,Britam Holdings Plc,4.25,6.50,4.60,5.00,4.70,5.02,-0.32,6.37%,"19,300.00",-,4.25,6.5,4.6,5.0,4.7,5.02,-0.32,6.37,19300.0,
2024-02-09,CIC,CIC Insurance Group Ltd,1.93,2.50,2.10,2.20,2.14,2.16,-0.02,0.93%,"6,500.00",-,1.93,2.5,2.1,2.2,2.14,2.16,-0.02,0.93,6500.0,
2024-02-09,JUB,Jubilee Holdings Ltd,150.00,202.00,190.00,190.00,190.00,189.75,0.25,0.13%,"28,300.00",-,150.0,202.0,190.0,190.0,190.0,189.75,0.25,0.13,28300.0,
2024-02-09,KNRE,Kenya Re-Insurance Corporation Ltd,1.00,3.00,1.82,1.90,1.85,1.86,-0.01,0.54%,"3,800.00",-,1.0,3.0,1.82,1.9,1.85,1.86,-0.01,0.54,3800.0,
2024-02-09,LBTY,Liberty Kenya Holdings Ltd,3.50,8.24,5.00,5.50,5.48,5.00,0.48,9.60%,"8,400.00",-,3.5,8.24,5.0,5.5,5.48,5.0,0.48,9.6,8400.0,
2024-02-09,SLAM,Sanlam Kenya Plc,5.50,7.70,6.60,6.60,6.60,6.06,0.54,8.91%,"3,900.00",-,5.5,7.7,6.6,6.6,6.6,6.06,0.54,8.91,3900.0,
2024-02-09,CTUM,Centum Investment Company Plc,7.62,10.40,8.06,8.82,8.70,8.76,-0.06,0.68%,"26,700.00",-,7.62,10.4,8.06,8.82,8.7,8.76,-0.06,0.68,26700.0,
2024-02-09,HAFR,Home Afrika Ltd,0.27,0.42,0.32,0.34,0.32,0.32,-,-,"32,800.00",-,0.27,0.42,0.32,0.34,0.32,0.32,,,32800.0,
2024-02-09,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
2024-02-09,OCH,Olympia Capital Holdings Ltd,2.58,4.00,3.45,3.45,3.45,3.45,-,-,-,-,2.58,4.0,3.45,3.45,3.45,3.45,,,,
2024-02-09,TCL,Trans-Century Plc,0.29,0.72,0.49,0.50,0.49,0.50,-0.01,2.00%,"16,600.00",-,0.29,0.72,0.49,0.5,0.49,0.5,-0.01,2.0,16600.0,
2024-02-09,NSE,Nairobi Securities Exchange Plc,5.22,6.80,5.86,6.00,5.98,5.86,0.12,2.05%,"1,200.00",-,5.22,6.8,5.86,6.0,5.98,5.86,0.12,2.05,1200.0,
2024-02-09,BOC,BOC Kenya Plc,67.00,96.00,82.00,82.00,82.00,82.00,-,-,-,-,67.0,96.0,82.0,82.0,82.0,82.0,,,,
